food,calories,protein,fat,carbs,sugar,fiber,cholesterol,cost
Coconut burfi (Nariyal ki burfi),467.64,8.81,34.63,32.15,31.5,3.5,0.0,65
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,5.86,17.68,24.51,23.92,0.73,0.0,40
Chocolate burfi,339.33,13.0,17.86,33.15,32.38,0.0,0.0,59
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,5.48,28.46,37.92,31.43,1.12,0.0,54
Gram flour burfi (Besan burfi),421.79,11.19,22.41,46.59,28.44,3.41,0.0,64
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,6.71,21.86,52.86,33.28,4.68,0.0,57
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,5.68,27.03,50.9,27.32,6.69,0.0,59
Gram flour ladoo (Besan ladoo),476.91,8.93,22.76,62.61,37.76,4.43,0.0,66
Sesame ladoo (Til ke ladoo),396.96,10.7,19.64,43.5,38.63,7.72,0.0,60
Chenna murki,252.69,10.46,8.2,36.01,35.55,0.0,0.0,45
Milk cake,127.41,3.01,8.93,9.13,8.9,0.06,30.0,19
Ghujia/Lavang latika,768.98,1.86,78.93,13.0,6.08,0.52,20.0,85
Gulab Jamun with khoya,586.06,2.03,53.23,26.09,24.12,0.07,20.0,66
Mal pua,566.68,1.71,54.64,17.56,11.77,0.62,20.0,63
Shahi tukre,189.81,2.76,2.54,41.46,34.7,0.51,0.0,25
Potato pakora/pakoda (Aloo pakoda),677.19,1.9,71.84,6.04,0.22,1.03,20.0,75
Onion pakora/pakoda (Pyaaz ke pakode),674.61,1.9,71.84,5.41,0.88,1.11,20.0,75
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,1.98,71.86,4.52,0.23,1.26,20.0,75
Mixed vegetable pakora/pakoda,673.81,1.94,71.86,5.12,0.38,1.13,20.0,75
Spinach pakora/pakoda (Palak pakoda),712.62,1.96,76.38,4.68,0.2,1.02,20.0,79
Methi pakora/pakoda (Methi ke pakode),713.25,2.06,76.39,4.68,0.25,1.18,20.0,79
Egg pakora/pakoda (Ande ke pakode),710.51,2.83,75.86,4.48,0.19,0.86,50.0,81
Bread pakora/pakoda,710.99,2.57,74.2,8.87,0.46,1.11,20.0,80
Paneer pakora/pakoda,718.12,3.27,76.05,5.52,1.08,0.89,30.0,82
Potato bonda (Aloo bonda),632.84,1.09,67.8,4.53,0.27,0.83,20.0,69
Potato samosa (Aloo ka samosa),577.39,1.71,59.19,9.21,0.29,1.19,20.0,64
Minced meat samosa (Keema ka samosa),620.99,4.43,64.26,6.14,0.5,0.39,50.0,74
Paneer and pea samosa (Paneer matar ka samosa),623.81,4.02,63.65,8.55,1.69,1.02,30.0,73
Mathri,805.12,1.75,83.1,12.32,0.29,0.6,20.0,88
Khasta kachori,712.73,2.51,72.27,12.81,0.34,0.97,20.0,80
Vegetable cutlet,665.45,1.25,71.33,4.68,0.35,0.93,20.0,73
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,1.76,73.89,7.39,0.27,0.86,20.0,78
Peanut cutlet (Mungfali ke cutlet),698.77,2.63,74.0,5.68,0.51,1.21,20.0,79
Fish cutlet (Machli ka cutlet),654.64,2.77,70.11,3.13,0.29,0.54,50.0,74
Paneer potato cutlet (Paneer aloo cutlet),672.94,2.47,71.4,5.23,1.02,0.41,30.0,76
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,1.44,73.6,4.93,0.16,0.93,20.0,76
Cheese toast,785.37,1.98,84.11,5.49,0.53,0.31,30.0,87
Vegetable burger,519.93,3.26,50.63,13.69,1.88,1.7,20.0,61
Cheese pizza,249.5,5.79,12.43,30.62,3.42,1.95,30.0,37
Vegetable seekh kebab,690.73,1.57,73.72,5.32,0.74,0.59,20.0,76
Masala vada,826.02,1.69,89.15,4.06,0.24,1.07,20.0,91
Peanut sago vada (Sabudana mungfali vada),749.89,1.01,79.82,7.14,0.19,0.62,20.0,81
Vegeterian scotch egg,681.67,2.16,72.77,4.64,0.23,0.58,50.0,76
Paneer shaslik/tikka,93.85,5.11,4.49,7.98,4.61,1.23,30.0,19
Peanut brittle (Moongfali ki chikki),320.46,6.94,11.13,47.46,43.92,2.63,0.0,45
Spring roll,623.87,1.81,64.63,8.56,0.6,0.67,20.0,69
Dry mango chutney (Sookhe aam ki chutney),298.13,2.43,0.7,69.17,61.86,3.74,20.0,34
Peanut chutney (Mungfali ki chutney),258.37,11.8,19.06,9.87,2.76,5.73,0.0,49
Coconut chutney (Nariyal ki chutney),265.92,3.59,25.0,8.29,3.79,6.73,20.0,35
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,2.81,0.51,21.18,15.88,4.33,0.0,16
Custard tart,225.6,3.72,10.73,28.66,9.31,0.91,20.0,30
Lemon tart,303.35,6.12,17.45,30.68,10.68,0.81,0.0,43
Jam tart,360.72,4.42,17.35,46.18,14.74,1.14,20.0,45
Orange cream tart,197.16,2.58,8.72,27.43,10.08,0.64,30.0,25
Pineapple tart,195.4,2.29,8.21,28.62,11.09,0.87,0.0,25
Cheese and mushroom tart,246.1,5.51,15.28,21.43,3.16,1.18,30.0,36
Cottage cheese pie,238.98,7.45,13.83,20.66,3.62,2.21,30.0,38
Minced meat pie,221.55,7.38,13.04,18.11,1.42,2.33,50.0,36
Apple cinnamon pie,258.73,3.35,12.21,33.68,11.95,1.77,20.0,33
Lemon meringue pie,224.43,3.88,8.16,35.11,21.17,0.44,20.0,31
Chocolate meringue pie,214.76,4.98,9.17,28.8,15.03,0.37,20.0,32
Cream puffs,221.33,4.7,15.48,16.0,5.94,0.38,30.0,32
Chocolate eclairs,239.42,4.24,13.5,26.22,17.34,0.33,20.0,33
Cheese balls,681.28,2.21,72.57,4.81,0.63,0.18,30.0,76
Minced meat patties,265.72,6.88,19.57,15.25,0.88,0.77,50.0,40
Cheese patties,324.01,7.38,22.67,22.23,3.93,1.24,30.0,47
Hot cheese souffle,177.1,9.18,13.23,5.41,2.91,0.12,30.0,35
Hot potato souffle,125.64,5.51,7.64,8.56,1.78,0.66,0.0,23
Hot fish souffle,142.92,11.23,9.24,3.69,1.68,0.1,50.0,35
Hot spinach souffle,104.25,5.43,7.24,4.19,1.64,0.99,0.0,21
Plain cream cake,353.94,6.18,16.17,47.18,27.74,0.71,30.0,48
Apple cake (Seb ka cake),290.08,4.94,12.87,39.48,23.52,1.22,20.0,39
Marble cake,354.11,6.3,16.27,46.88,27.56,0.71,0.0,48
Chocolate cake,335.61,6.01,15.18,45.14,27.58,0.64,0.0,46
Orange cake,357.61,6.1,16.21,48.28,28.38,0.83,0.0,48
Fruit Loaf ,324.19,5.36,13.31,46.49,24.54,0.87,0.0,43
Banana cake (Kele ka cake),389.51,5.77,23.31,40.0,23.04,1.14,0.0,51
Chocolate chiffon cake,311.71,5.76,15.8,37.87,24.25,0.7,0.0,43
Christmas cake,372.95,5.49,16.88,48.29,27.45,1.49,0.0,48
Strawberry and vanilla cake with butter icing,370.54,3.89,20.39,44.25,32.43,0.79,30.0,46
Eggless cake,318.08,8.12,11.75,46.14,27.7,0.68,50.0,48
Swiss roll,251.87,7.3,3.77,48.34,32.96,0.55,0.0,39
Pineapple pastry ,208.21,6.06,7.87,29.04,18.83,0.72,0.0,33
Black forest pastry,233.55,6.09,8.46,34.48,21.35,0.54,0.0,35
Coconut finger,274.86,7.09,8.86,42.56,28.55,1.87,0.0,41
Pineapple cake ,195.57,5.01,9.34,23.51,16.16,0.76,0.0,30
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,6.56,23.62,47.1,22.58,1.54,0.0,56
Chocolate chip cookies,425.29,5.79,19.38,57.98,30.29,1.05,0.0,55
Sweet plain biscuit,380.76,5.86,17.67,50.29,21.77,1.07,0.0,50
Chocolate biscuit,379.76,5.88,17.09,51.56,24.16,1.01,0.0,50
Coconut biscuit (Nariyal ke biscuit),434.98,5.78,27.16,42.9,20.76,3.64,0.0,56
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,6.15,22.39,45.09,7.22,1.68,0.0,53
Peanut biscuit,401.05,8.45,20.41,46.72,21.26,2.48,0.0,57
Pin wheel biscuit,404.6,5.4,18.66,54.56,23.25,1.16,0.0,52
Saffron biscuit (Kesar biscuit),458.61,6.05,22.01,59.7,22.42,1.9,0.0,58
Masala biscuit,393.64,6.06,20.75,45.18,6.82,2.14,0.0,52
Ice box cookies,374.24,5.7,14.44,56.09,26.69,1.28,0.0,49
Ginger bread man,365.0,6.61,11.01,60.26,29.12,1.6,0.0,50
Danish cookies,475.33,5.33,24.92,58.0,21.73,1.37,0.0,59
Short bread cookies,443.09,6.03,17.98,64.82,23.31,1.57,0.0,57
Coffee biscuit,416.57,6.9,23.0,46.55,21.69,1.59,0.0,56
Melting moments,437.91,5.71,21.78,55.84,25.0,1.88,0.0,56
Ginger biscuit (Adarak ke biscuit),417.91,5.98,18.31,58.44,27.06,1.49,0.0,54
Soyabean muthias,839.33,2.46,90.45,3.7,0.17,1.47,20.0,93
Soyabean tikki,698.17,3.53,74.02,4.39,0.35,2.2,20.0,80
Soyabean namak paras,838.46,2.65,89.83,4.65,0.22,1.41,20.0,94
Peanut burfi (Moongfali ki burfi),550.99,9.31,36.84,48.14,43.08,4.09,0.0,75
Spinach peanut namak paras (Palak moongfali namak paras),740.16,1.65,78.51,6.62,0.28,0.81,20.0,81
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,2.08,80.04,7.63,0.25,1.39,20.0,84
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,2.74,82.44,11.13,0.15,1.18,20.0,89
Split bengal gram sweet rice (Channa dal sweet rice),190.21,4.15,0.64,41.07,19.41,2.23,0.0,27
Sweet poori (Meethi poori),782.75,2.12,79.63,14.26,7.15,1.54,20.0,87
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.08,9.84,18.41,60.0,31.12,6.02,0.0,63
Spinach burfi (Palak burfi),121.17,2.71,6.81,12.76,12.12,1.17,0.0,18
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.59,9.51,7.93,62.66,24.73,8.16,0.0,54
Sprouted moong daliya ,111.56,2.81,4.71,14.77,1.67,3.12,0.0,17
Sprouted moong poha ,192.6,5.59,6.89,26.6,1.93,3.13,0.0,30
Pearl millet ladoo (Bajra ladoo),319.66,9.61,8.06,50.98,27.44,6.0,0.0,50
Paushtik ladoo,485.87,7.65,24.98,60.34,38.12,4.57,0.0,65
Paushtik roti,149.26,7.17,1.51,26.59,2.03,5.74,0.0,28
Semolina carrot vada (Suji gajar vada),699.53,1.56,74.07,6.52,1.21,1.07,20.0,77
Dhokla,216.49,13.45,5.28,30.68,4.78,4.95,0.0,47
Kashmiri tea (Kehwa),24.9,0.17,0.51,5.23,5.14,0.16,0.0,10
Steeped hot coffee,15.91,0.39,0.33,3.01,2.96,0.0,0.0,10
Hot chocolate,90.01,3.43,4.61,9.02,8.86,0.0,0.0,16
Cold coffee (with cream),82.76,1.93,3.29,11.98,11.91,0.0,30.0,13
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,2.01,2.77,11.15,9.94,0.27,30.0,12
Flavoured milkshake,66.78,2.06,2.83,8.65,8.61,0.0,30.0,11
Jal jeera,30.24,0.44,0.26,6.7,5.71,0.95,0.0,10
Gingo,48.02,0.14,0.06,12.42,12.08,0.17,0.0,10
Mintade,40.32,0.03,0.02,10.59,10.47,0.03,0.0,10
Canjee,6.61,0.24,0.42,0.44,0.21,0.36,0.0,10
Cauliflower canjee (Phoolgobhi ki canjee),6.9,0.39,0.42,0.35,0.09,0.49,0.0,10
Potato canjee (Aloo canjee),16.26,0.44,0.39,2.69,0.1,0.43,0.0,10
Vermicelli porridge (Semiya/Seviyan porridge),78.4,2.5,2.98,10.56,7.04,0.48,0.0,13
Semolina upma (Suji/Rava upma),147.89,3.3,7.49,16.31,1.31,3.24,0.0,22
Vermicelli upma (Semiya/Seviyan upma),149.11,3.11,7.45,16.88,1.4,3.21,0.0,21
Rice upma,151.27,2.63,7.46,17.96,1.13,2.12,0.0,21
Bread upma,129.51,2.8,7.75,12.6,1.56,1.96,0.0,19
Vegetable upma,146.47,4.73,6.63,16.46,1.39,4.19,0.0,24
Poha,294.53,6.09,14.14,35.05,0.87,3.72,0.0,41
Vegetable poha,180.52,4.89,8.07,21.52,1.4,3.76,0.0,28
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,6.97,5.11,19.42,1.11,4.25,0.0,29
Paneer stuffed cheela/chilla,205.19,11.44,8.89,19.16,3.81,4.03,30.0,42
Indian style egg bhujia (Anda bhujia (Indian style)),102.83,6.1,7.02,3.76,1.95,1.53,50.0,22
French omelette/omlet,211.04,10.03,18.86,0.41,0.1,0.38,0.0,41
Puffy omelette/omlet,188.15,8.82,16.84,0.08,0.08,0.0,0.0,36
Orange omelette/omlet,194.66,8.93,16.84,1.68,1.68,0.0,0.0,37
Cheese and mushroom omelette/omlet,205.63,9.69,17.82,1.68,1.07,0.93,30.0,39
Spanish omelette/omlet,157.45,8.25,11.44,5.1,1.03,2.54,0.0,32
Mixed stock,25.19,2.06,1.71,0.33,0.2,0.15,0.0,10
Meat stock,24.48,2.1,1.78,0.0,0.0,0.0,50.0,10
White stock,6.99,0.07,0.56,0.4,0.24,0.17,0.0,10
Meat consomme (with mutton),29.76,14.86,13.68,0.51,0.24,0.71,50.0,39
Consomme au julienne,27.76,12.49,10.66,1.49,0.83,1.38,0.0,32
Consomme au vermicelli,29.94,15.23,12.98,1.3,0.27,0.81,0.0,39
Green pea soup (Matar ka soup),39.81,11.06,12.9,3.63,0.87,2.49,0.0,32
Spinach soup (Palak ka soup),32.59,10.54,14.26,3.03,0.29,1.98,0.0,31
Mixed vegetable soup,35.71,8.22,11.66,2.95,1.64,1.64,0.0,25
Cheese soup,41.13,12.39,17.07,1.87,0.84,1.8,30.0,36
Mulligatawny soup,54.42,11.26,13.28,8.24,1.26,2.6,0.0,34
Cream of carrot soup,59.77,8.27,12.35,5.69,1.77,1.98,30.0,27
Cream of broccoli soup,56.14,8.97,12.75,3.72,1.59,1.89,30.0,28
Cream of potato soup,60.2,8.1,12.05,6.14,1.24,1.51,30.0,27
Almond soup (Badam ka soup),78.65,10.13,13.8,3.68,1.94,0.91,0.0,32
Cold cucumber cream soup ,11.88,0.34,0.34,1.76,0.51,0.73,30.0,10
Cold tomato soup,16.9,0.11,1.56,0.59,0.22,0.16,0.0,10
Chicken stew,127.55,7.19,8.91,4.44,1.43,1.82,50.0,27
Veg paneer stew,145.55,6.98,8.41,10.22,4.85,3.08,30.0,28
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.27,4.37,7.27,26.37,2.71,5.16,0.0,28
Methi parantha/paratha,148.36,4.27,4.34,22.19,2.44,5.09,0.0,23
Bathua poori,598.79,2.35,59.14,13.85,0.41,1.87,20.0,67
Gram flour poori (Besan poori),697.66,2.59,71.51,10.93,0.35,1.94,20.0,79
Beetroot poori (Chukandar ki poori),527.66,1.91,52.18,12.29,0.54,1.4,20.0,59
Peas poori (Matar ki poori),592.83,3.04,57.69,14.92,0.48,2.25,20.0,68
Peas kachori (Matar kachori),584.68,3.21,57.51,13.25,0.5,2.03,20.0,68
Pizza,146.77,6.85,8.72,9.94,1.38,1.71,0.0,28
Bacon and mushroom pancake,157.67,6.82,10.6,8.47,1.23,1.59,0.0,29
Cheese and tomato pancake,147.39,5.15,9.28,10.66,3.48,1.06,30.0,25
Minced meat pancake (with chicken),116.04,12.01,10.48,8.18,1.29,0.7,50.0,37
Eggplant/Brinjal rice (Vangi bhat),184.8,5.28,3.67,31.74,4.36,4.44,50.0,28
Kashmiri 'tahar',98.21,1.95,1.37,19.11,0.17,0.98,0.0,14
Cumin pulao (Jeera/Zeera pulao),135.24,2.47,3.2,23.61,0.64,1.4,0.0,19
Peas pulao (Matar pulao),108.87,3.89,1.9,18.42,1.3,3.21,0.0,18
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.53,3.6,2.3,19.72,1.59,3.16,0.0,19
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.51,3.44,2.58,21.55,1.99,2.69,0.0,19
Mutton pulao,130.77,6.52,10.78,11.26,1.0,1.65,0.0,28
Chicken pulao,108.24,6.07,8.48,11.17,0.99,1.64,50.0,25
Mexican rice,120.57,4.62,4.88,14.21,1.44,1.64,0.0,21
Plain khitchdi (Plain khichri/khichdi),57.03,1.72,1.01,10.04,0.12,0.85,0.0,10
Instant idli (with semolina),247.29,9.16,3.61,43.4,3.35,7.13,0.0,42
Plain dosa,380.91,10.34,8.43,64.08,0.7,5.23,0.0,57
Masala dosa mixed vegetable fillings,144.53,4.84,3.26,23.02,1.53,4.31,0.0,24
Masala dosa paneer fillings,243.12,10.31,8.84,29.76,4.81,3.11,30.0,44
Uttapam,255.95,6.18,9.03,36.28,1.5,4.4,0.0,37
Appam,267.7,3.12,22.63,13.28,4.16,6.19,20.0,34
Beans and macaroni,136.08,4.58,7.01,14.24,1.68,2.05,0.0,23
Spaghetti bolognese,97.43,9.35,9.51,10.04,1.41,1.08,0.0,31
Meat and macaroni casserole,161.55,9.15,10.17,16.12,1.0,1.19,50.0,35
Spaghetti with meat balls and tomato sauce,158.13,5.61,10.64,10.46,1.87,1.11,50.0,27
Spaghetti with paneer balls and tomato sauce,158.54,3.95,10.44,12.72,3.03,1.25,30.0,24
Lasagne with meat sauce,63.38,2.9,3.43,5.38,1.04,0.47,50.0,12
Lasagne with vegetables,49.23,1.71,2.16,5.9,1.37,0.66,0.0,10
Home made egg noodles,240.84,6.55,4.37,42.92,1.03,1.6,50.0,36
Sour lentils (Khatti dal),34.79,2.22,0.12,6.04,1.25,1.22,0.0,10
Urad special dehusked,69.43,3.14,2.17,8.86,1.32,2.5,0.0,13
Arhar with spinach (Arhar dal aur palak),52.84,2.05,2.76,4.77,0.23,1.3,0.0,10
Moong dal with vadi,24.08,0.4,2.05,1.0,0.45,0.39,0.0,10
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,1.13,0.88,3.37,0.83,1.6,0.0,10
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,1.11,0.87,2.85,0.44,1.54,0.0,10
Green gram whole with baghar (Sabut moong dal with tadka),63.43,3.23,2.48,6.8,0.15,3.02,0.0,13
Urad sabut special,79.39,2.33,5.46,5.03,0.86,2.15,0.0,13
Kabuli channa curry,68.57,2.92,3.06,7.63,1.24,1.12,0.0,13
Besan gatte curry,189.38,7.75,10.72,16.26,4.5,3.25,0.0,34
Dry masala chops,135.07,9.08,9.54,3.3,2.27,0.86,0.0,31
Mutton korma,115.64,7.09,8.54,2.53,1.64,0.78,0.0,25
Shahi keema kofta curry,418.13,4.14,43.83,1.73,0.78,0.91,20.0,52
Minced meat ball curry,109.79,6.82,7.85,2.86,1.27,1.49,50.0,24
Boti kebab,132.86,9.22,9.27,3.06,2.09,0.76,0.0,31
Mutton seekh kebab,133.94,11.25,8.43,3.11,1.4,1.88,0.0,35
Indian lamb and egg curry (Nargisi kofta),335.75,3.84,34.7,2.07,0.75,0.6,50.0,43
Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,2.85,55.99,3.27,1.1,0.86,20.0,60
Soya chunks korma (Nutrinugget korma),131.43,3.86,9.5,7.67,4.66,2.57,0.0,21
Mushroom matar,70.77,2.79,4.11,5.33,1.39,3.13,0.0,13
Soya chunks and peas (Nutrinugget matar),82.62,3.03,5.11,5.82,1.64,2.86,0.0,14
Vegetable yakhni,406.06,1.18,43.8,1.94,1.44,0.61,20.0,45
Spinach mushroom (Palak mushroom),47.63,1.94,2.96,2.95,1.0,2.27,0.0,10
Vegetarian nargisi kofta curry,332.15,2.29,32.94,6.58,1.65,0.86,20.0,39
Roast chicken,199.9,20.49,13.06,0.1,0.05,0.03,50.0,58
Shahi chicken masala,163.7,9.82,12.02,4.07,2.86,0.96,50.0,35
Tomato chicken,111.68,10.57,6.71,2.13,0.93,1.42,50.0,31
Creamy chicken,152.87,13.52,9.57,3.13,2.11,0.69,50.0,41
Broccoli chicken ala king,119.56,7.97,7.57,5.34,2.49,1.92,50.0,27
Ginger chicken,129.17,8.24,8.24,5.6,1.95,1.21,50.0,29
Chicken sweet and sour,445.09,6.92,47.59,2.67,0.89,0.58,50.0,61
Chicken korma,147.96,9.83,9.67,5.43,3.32,1.82,50.0,33
Bengal fish curry (Bengali machli curry),109.43,7.26,7.03,4.42,2.39,1.93,50.0,25
Fish finger,542.9,5.66,55.82,4.47,0.17,0.34,50.0,68
Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,8.66,4.43,2.73,1.55,1.52,50.0,25
Prawn curry (with coconut) (Jhinga curry),109.55,8.54,6.93,3.1,2.03,1.56,0.0,27
Baked stuffed fish,121.96,16.14,5.43,2.12,0.35,0.38,50.0,42
Fish pie,120.9,9.25,5.77,7.74,1.13,0.76,50.0,29
Crispy baked fish,138.4,10.95,6.41,9.59,1.53,1.21,50.0,34
Fish souffle,139.71,10.51,8.55,5.14,2.09,0.19,50.0,34
Potato curry (Aloo ki sabzi),89.56,1.52,4.47,10.42,1.58,2.42,0.0,12
Egg curry (Anda curry),117.52,5.38,8.81,4.03,1.9,2.09,50.0,22
Vegetable curry with coconut ,83.07,2.77,4.66,7.19,1.41,3.35,0.0,14
Curd with potatoes (Dahi aloo),59.9,1.56,2.72,7.15,1.82,1.19,0.0,10
Potato kofta curry (Aloo kofta curry),455.4,0.56,49.08,2.78,0.63,0.56,20.0,49
Yam kofta curry (Zimikand/Suran kofta curry),322.88,0.71,33.84,3.75,0.63,1.04,20.0,36
Jackfruit kofta curry (Kathal ka kofta curry),321.08,0.8,33.83,3.17,2.4,0.96,20.0,36
Spinach and potato (Palak aloo),57.17,1.63,2.82,5.91,0.93,2.04,0.0,10
Mooli bhujia,91.2,1.69,7.25,4.74,1.07,2.36,0.0,13
Bathua bhujia,90.9,2.26,7.29,3.63,1.08,3.8,0.0,14
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,8.21,9.36,6.09,1.26,1.84,0.0,30
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,5.76,8.17,7.03,3.81,2.35,0.0,24
Dry arbi (Sookhi arbi),134.95,2.12,8.97,11.11,1.55,2.47,0.0,18
Masala arbi,185.38,3.01,11.9,16.16,0.81,3.1,0.0,25
Peas brinjal bhartha (Matar baingan bhartha),84.55,2.05,6.05,5.02,1.57,3.63,0.0,13
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,1.83,9.27,4.5,1.42,3.57,0.0,15
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,1.91,70.4,4.35,0.26,1.75,20.0,73
Beans foogath,105.06,2.03,9.22,3.26,1.7,4.15,0.0,15
Stuffed bittergourd (wet) (Bharwa karele),162.36,1.36,15.24,4.68,1.95,2.86,0.0,20
Jackfruit/Kathal (dry),488.97,0.93,51.78,4.56,3.55,1.33,20.0,54
Yam fried (Zimikand/Suran fried),491.76,0.79,51.79,5.47,0.8,1.44,20.0,54
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,2.75,5.54,8.23,1.47,3.26,0.0,15
Vegetable jalfrezi,68.48,1.4,4.38,5.43,1.79,2.97,0.0,10
Vegetables stir fry ,30.78,1.04,1.47,3.19,0.86,1.37,0.0,10
Broccoli delight,40.7,2.49,2.48,2.34,1.08,2.83,0.0,10
Dhansak (vegetarian),82.8,3.32,4.18,7.28,0.91,4.17,0.0,15
Cauliflower basket,90.95,5.21,5.88,3.97,1.47,2.4,0.0,19
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,5.84,5.8,4.36,1.52,1.18,0.0,21
Ducheese potato,140.54,3.6,9.01,10.94,0.29,1.29,30.0,21
Roast potatoes ,87.32,1.53,2.35,14.52,0.33,1.71,0.0,12
Stuffed baked potatoes ,100.2,3.82,4.39,11.03,0.4,1.31,0.0,18
Potato nests,111.62,5.71,4.77,11.05,1.41,2.49,0.0,22
Parsley potato,119.51,1.49,6.28,13.81,0.34,1.59,0.0,15
Creamed spinach and mushroom,419.62,2.28,44.14,3.17,1.17,1.02,30.0,49
Fricassee of Mushroom,106.66,3.65,6.63,8.13,2.51,1.23,0.0,18
Cauliflower au gratin,145.9,4.45,10.2,9.13,3.01,1.44,0.0,24
Vegetable and cheese pie,126.88,4.03,8.28,8.76,2.69,1.91,30.0,21
Spinach souffle ,150.18,7.36,10.52,6.27,0.89,1.44,0.0,29
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,3.36,6.45,3.4,1.97,0.55,50.0,15
Sour cream potato salad,121.9,2.89,8.13,9.05,0.84,1.21,30.0,18
Tossed green salad,49.88,1.33,3.24,3.82,1.9,1.33,0.0,10
Spring basket salad,160.46,3.36,11.3,11.61,1.46,3.09,0.0,23
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,2.09,0.93,4.72,2.28,1.66,0.0,10
Chicken and tomato towers,100.55,6.9,6.99,2.36,1.21,1.14,50.0,23
Jellied sunshine fruit salad,48.86,5.85,0.85,4.21,2.86,1.8,0.0,16
Tomato aspic,50.37,6.87,0.26,5.02,3.21,1.58,0.0,18
Frozen frosty fruit salad (Phalon ka salaad),103.51,1.68,4.17,15.61,14.38,0.26,0.0,14
French dressing,733.77,0.32,79.65,3.68,3.01,0.22,20.0,78
Mayonnaise without eggs,329.05,2.13,33.84,3.98,3.68,0.04,50.0,39
Curd dressing ,78.8,5.59,2.9,8.03,7.57,0.22,0.0,19
Carrot raita (Gajar ka raita),64.78,4.14,2.19,7.19,5.99,1.69,0.0,15
Pumpkin raita (Kaddu ka raita),55.6,3.74,1.88,6.02,5.48,1.04,0.0,13
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,7.05,6.19,7.31,6.17,1.79,0.0,25
Spinach raita (Palak ka raita),52.75,3.95,1.86,5.06,3.97,1.39,0.0,13
Bathua raita,54.4,4.13,1.76,5.31,4.11,2.19,0.0,13
Pineapple raita (Ananas ka raita),67.74,3.9,2.02,8.62,8.12,1.39,0.0,14
Banana raita (Kele ka raita),89.03,4.13,2.07,13.51,10.11,1.0,0.0,17
Mango raita (Aam ka raita),67.37,3.9,2.14,8.23,7.87,0.89,0.0,14
Guava raita (Amarood ka raita),64.36,4.19,2.07,7.27,6.71,3.0,0.0,15
Grapes raita (Angoor ka raita),72.59,3.98,2.07,9.66,8.51,0.71,0.0,15
Bottle gourd kheer (Ghiya/Lauki kheer),84.07,2.7,3.86,10.0,9.63,0.55,0.0,14
Pumpkin kheer (Kaddu ki kheer),86.35,2.76,3.86,10.44,10.12,0.63,0.0,14
Apple kheer (Seb ki kheer),81.3,2.14,3.18,11.34,10.71,0.51,0.0,13
Caramel custard (baked),122.7,5.11,5.01,14.95,14.92,0.0,0.0,22
Vanilla ice cream without egg,228.67,2.69,18.15,14.21,13.45,0.0,50.0,29
Vanilla ice cream with egg,214.85,4.16,17.02,11.71,11.69,0.0,50.0,30
Strawberry ice cream,215.61,4.15,16.96,12.26,11.6,0.0,30.0,31
Chocochip ice cream,241.45,4.23,17.93,16.75,16.08,0.0,30.0,33
Choconut ice cream,273.96,5.04,18.49,23.13,21.02,0.51,30.0,38
Pear chocholate sunday,183.49,2.08,13.11,15.02,14.41,0.07,0.0,23
Chocolate sauce,263.2,1.91,10.39,43.21,42.06,0.0,20.0,31
Coffee ice cream,150.62,3.15,9.43,14.09,13.35,0.0,30.0,22
Coffee pear alaska,203.99,2.88,13.22,19.36,16.88,0.15,20.0,27
